Title;Description;Latitude;Longitude;Icon
Anna;"<ul><li>fahre mit der Bahn und suche Mitfahrende</li>
<li>oder suche 1 Platz im Auto</li>
<li>oder biete 3 Plätze im Auto</li></ul><br>anna@gmx.de";49.6400;11.0000;Daten/Icon_Gruppengefluester-07-40px.png
Bernd;"<ul><li>fahre mit der Bahn und suche Mitfahrende</li>
<li>oder suche 2 Plätze im Auto</li></ul><br>bernd@gmx.de";49.6600;11.0300;Daten/Icon_Gruppengefluester-07-40px.png
Carina;<ul><li>biete 1 Platz im Auto</li></ul><br>carina@gmx.de;49.6420;11.0660;Daten/Icon_Gruppengefluester-07-40px.png
Daniel;<ul><li>fahre mit der Bahn und suche Mitfahrende</li></ul><br>martin@gmx.de;49.5933;10.9526;Daten/Icon_Gruppengefluester-07-40px.png
Erich;"<ul><li>suche 2 Plätze im Auto</li>
<li>oder biete 3 Plätze im Auto</li></ul><br>peter@gmx.de";49.5786;10.9730;Daten/Icon_Gruppengefluester-07-40px.png
Franz;<ul><li>biete 3 Plätze im Auto</li></ul><br>sonja@gmx.de;49.5522;11.0242;Daten/Icon_Gruppengefluester-07-40px.png
Georg;<ul><li>suche 1 Platz im Auto</li></ul><br>ursula@gmx.de;49.5360;11.1569;Daten/Icon_Gruppengefluester-07-40px.png
Hans;;49.6153;11.1283;Daten/Icon_Gruppengefluester-07-40px.png
Ilse;;49.7951; 9.9294;Daten/Icon_Gruppengefluester-07-40px.png
Juliane;;50.0479;10.2248;Daten/Icon_Gruppengefluester-07-40px.png
Kevin;;50.1369;10.5222;Daten/Icon_Gruppengefluester-07-40px.png
Leo;;50.2549;10.9604;Daten/Icon_Gruppengefluester-07-40px.png
Martin;;50.2391;11.3259;Daten/Icon_Gruppengefluester-07-40px.png
Naomi;;50.2141;11.3096;Daten/Icon_Gruppengefluester-07-40px.png
Oliver;;50.2124;11.4892;Daten/Icon_Gruppengefluester-07-40px.png
Peter;;50.2038;11.5163;Daten/Icon_Gruppengefluester-07-40px.png
Quara;;50.1620;11.5046;Daten/Icon_Gruppengefluester-07-40px.png
Rosa;;50.1009;11.8842;Daten/Icon_Gruppengefluester-07-40px.png
Sonja;;50.0812;12.3716;Daten/Icon_Gruppengefluester-07-40px.png
Thomas;;50.0016;12.0848;Daten/Icon_Gruppengefluester-07-40px.png
Ursula;;49.9878;12.1214;Daten/Icon_Gruppengefluester-07-40px.png
Victoria;;50.0084;12.0728;Daten/Icon_Gruppengefluester-07-40px.png
Willi;;49.9941;12.0676;Daten/Icon_Gruppengefluester-07-40px.png
Xenopele;;49.9343;11.9698;Daten/Icon_Gruppengefluester-07-40px.png
Yeah;;49.7986;12.1590;Daten/Icon_Gruppengefluester-07-40px.png
Zara;;49.5103;12.5452;Daten/Icon_Gruppengefluester-07-40px.png
Harald;"<form action=""www.wikipedia.de"" id=""user""><label for=""freePlace"">freie Plätze</label><input type=""text"" name=""freePlace"" id=""freePlace"" maxlength=""4""><br><label for=""reqPlace""> gesuchte Plätze </label> <input type=""text"" name=""reqPlace"" id=""reqPlace"" maxlength=""4""><br><button type=""submit"">absenden</button></form>";49.2;11.0;Daten/SDFR.png
